\,no_vehicle_avail_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,tobbaco_retailers_2019_%,liquor_per1000,supermarket_per1000,food_est_per1000
no_vehicle_avail_%,1.0000000000261755,-0.6195735203807023,0.22890104841014955,0.5992959871526105,0.5385240601747571,0.5031593660966307,0.2631433469408153,-0.11913571652093054,0.048654112250985,-0.11522552794777918,-0.09551816702332297,-0.11087484912270747
comm_car_%,-0.6195735203807023,0.999999999992078,0.07202322302162095,-0.7437352164826361,-0.7321556844637418,-0.5942472388880636,-0.18942640201239447,-0.43353744051851006,0.041654065537536,0.055574126473636694,0.02622271703271901,0.03898629664139269
comm_carpool_%,0.22890104841014955,0.07202322302162095,1.0000000000219949,-0.015617797670574548,0.014175735066996903,0.009463689726214695,0.16150908582353105,-0.2187559433447011,0.11990742507870625,-0.03280934641379673,-0.03905568157181621,-0.039023329106554976
comm_bus_%,0.5992959871526105,-0.7437352164826361,-0.015617797670574548,0.9999999999990511,0.2779695286199188,0.3359313071699122,0.03281300081507677,-0.0585605782706796,-0.09838663175845588,-0.17457911902981207,-0.12036389361301775,-0.13162810138669628
comm_walk_%,0.5385240601747571,-0.7321556844637418,0.014175735066996903,0.2779695286199188,0.9999999999674649,0.5460955742909038,0.19526555550384164,0.19771173485531052,0.044401202989341935,-0.06278506073026949,-0.049141677338584884,-0.05730300913654504
comm_cycle_%,0.5031593660966307,-0.5942472388880636,0.009463689726214695,0.3359313071699122,0.5460955742909038,1.0000000000700942,0.15758224736434748,0.1285639276598907,0.10447421870493809,-0.0036977102403222416,-0.009098228515075572,-0.005790068056451112
comm_taxi_%,0.2631433469408153,-0.18942640201239447,0.16150908582353105,0.03281300081507677,0.19526555550384164,0.15758224736434748,1.000000000059994,-0.033705399228590324,0.07094305209751355,-0.06330244292328419,-0.055625716757550035,-0.046806135411258144
comm_wfh_%,-0.11913571652093054,-0.43353744051851006,-0.2187559433447011,-0.0585605782706796,0.19771173485531052,0.1285639276598907,-0.033705399228590324,1.0000000000321678,-0.044073772756786506,0.22013681673757293,0.1943094171557788,0.18496619587019386
tobbaco_retailers_2019_%,0.048654112250985,0.041654065537536,0.11990742507870625,-0.09838663175845588,0.044401202989341935,0.10447421870493809,0.07094305209751355,-0.044073772756786506,1.0173087305771742,0.03276878946462581,0.010840808898613129,0.012174742443128961
liquor_per1000,-0.11522552794777918,0.055574126473636694,-0.03280934641379673,-0.17457911902981207,-0.06278506073026949,-0.0036977102403222416,-0.06330244292328419,0.22013681673757293,0.03276878946462581,0.8778625345967467,0.8288601114212124,0.8276561201513378
supermarket_per1000,-0.09551816702332297,0.02622271703271901,-0.03905568157181621,-0.12036389361301775,-0.049141677338584884,-0.009098228515075572,-0.055625716757550035,0.1943094171557788,0.010840808898613129,0.8288601114212124,0.8320862928989579,0.8288133460146896
food_est_per1000,-0.11087484912270747,0.03898629664139269,-0.039023329106554976,-0.13162810138669628,-0.05730300913654504,-0.005790068056451112,-0.046806135411258144,0.18496619587019386,0.012174742443128961,0.8276561201513378,0.8288133460146896,0.8409807736071265
